Result,Sex,Age,OtherSpecies,id,name,lat,long,farm_type,County
0,M         ,12,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
0,H         ,13,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
0,H         ,11,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,M         ,8,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
0,M         ,18,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,H         ,40,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,H         ,60,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,H         ,96,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,M         ,20,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,M         ,50,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,H         ,48,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,H         ,19,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,H         ,19,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,H         ,60,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,H         ,48,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
0,H         ,44,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
0,H         ,36,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
0,H         ,16,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,H         ,12,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,H         ,40,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,H         ,40,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
0,H         ,14,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
0,H         ,14,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
0,H         ,12,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
0,H         ,13,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,H         ,52,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,M         ,15,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
0,H         ,40,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,H         ,38,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
0,H         ,14,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
0,H         ,9,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,H         ,84,0,13,Wild Woods Farm,41.7019449,-91.4733845,nursery,Johnson
1,H         ,78,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
1,H         ,36,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
0,H         ,62,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
1,H         ,24,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
0,H         ,20,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
1,H         ,12,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
1,H         ,12,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
0,H         ,7,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
0,M         ,7,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
0,M         ,6,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
0,H         ,7,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
0,M         ,24,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
1,H         ,20,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
1,H         ,25,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
1,H         ,31,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
0,H         ,24,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
1,H         ,24,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
0,H         ,36,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
1,M         ,24,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
1,H         ,36,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
1,H         ,25,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
0,H         ,12,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
1,H         ,28,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
0,M         ,25,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
1,H         ,60,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
1,M         ,36,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
0,H         ,33,0,24,Cinnamon Ridge Farms,41.714686,-90.692308,sow farm,Scott
1,H         ,60,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,30,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
0,H         ,28,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,6,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,60,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,36,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
0,H         ,48,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,72,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,35,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,70,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,M         ,36,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,36,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,80,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,36,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,50,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
0,M         ,27,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
0,M         ,25,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
1,M         ,25,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
0,M         ,24,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
1,M         ,25,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
1,M         ,25,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
1,M         ,24,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
1,M         ,24,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
0,M         ,25,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
1,M         ,24,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
1,M         ,24,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
0,M         ,22,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
1,M         ,25,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
0,M         ,26,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
1,M         ,25,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
1,M         ,24,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
1,M         ,24,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
0,M         ,24,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
1,M         ,26,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
1,M         ,25,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
1,M         ,24,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
0,M         ,24,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
1,M         ,24,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
0,M         ,24,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
0,M         ,26,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
1,M         ,27,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
0,M         ,27,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
1,M         ,25,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
1,M         ,27,1,22,WinMor Farms,41.717025,-92.655796,sow farm,Poweshiek
1,H         ,14,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,36,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,36,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,39,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,50,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,16,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,36,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,18,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,M         ,18,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,36,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,36,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,96,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,17,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,60,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,14,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,38,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,7,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
0,M         ,25,1,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,48,0,32,Farm Sweet Farm at Rosmann Family Farms,41.680483,-95.385599,boar stud,Shelby
1,H         ,60,0,32,Farm Sweet Farm at Rosmann Family Farms,41.680483,-95.385599,boar stud,Shelby
0,H         ,60,0,32,Farm Sweet Farm at Rosmann Family Farms,41.680483,-95.385599,boar stud,Shelby
0,H         ,15,0,32,Farm Sweet Farm at Rosmann Family Farms,41.680483,-95.385599,boar stud,Shelby
1,H         ,68,0,32,Farm Sweet Farm at Rosmann Family Farms,41.680483,-95.385599,boar stud,Shelby
1,M         ,6,0,32,Farm Sweet Farm at Rosmann Family Farms,41.680483,-95.385599,boar stud,Shelby
1,H         ,75,0,32,Farm Sweet Farm at Rosmann Family Farms,41.680483,-95.385599,boar stud,Shelby
1,H         ,6,0,32,Farm Sweet Farm at Rosmann Family Farms,41.680483,-95.385599,boar stud,Shelby
1,H         ,110,0,32,Farm Sweet Farm at Rosmann Family Farms,41.680483,-95.385599,boar stud,Shelby
1,H         ,36,0,32,Farm Sweet Farm at Rosmann Family Farms,41.680483,-95.385599,boar stud,Shelby
1,M         ,12,0,32,Farm Sweet Farm at Rosmann Family Farms,41.680483,-95.385599,boar stud,Shelby
1,H         ,62,0,32,Farm Sweet Farm at Rosmann Family Farms,41.680483,-95.385599,boar stud,Shelby
1,H         ,48,0,32,Farm Sweet Farm at Rosmann Family Farms,41.680483,-95.385599,boar stud,Shelby
1,H         ,62,0,32,Farm Sweet Farm at Rosmann Family Farms,41.680483,-95.385599,boar stud,Shelby
1,H         ,95,0,32,Farm Sweet Farm at Rosmann Family Farms,41.680483,-95.385599,boar stud,Shelby
0,M         ,24,0,32,Farm Sweet Farm at Rosmann Family Farms,41.680483,-95.385599,boar stud,Shelby
0,H         ,38,0,32,Farm Sweet Farm at Rosmann Family Farms,41.680483,-95.385599,boar stud,Shelby
1,H         ,38,0,32,Farm Sweet Farm at Rosmann Family Farms,41.680483,-95.385599,boar stud,Shelby
1,M         ,24,0,32,Farm Sweet Farm at Rosmann Family Farms,41.680483,-95.385599,boar stud,Shelby
0,H         ,60,0,36,Practical Farmers of Iowa,42.0068312,-93.6169016,sow farm,Story
0,H         ,72,0,36,Practical Farmers of Iowa,42.0068312,-93.6169016,sow farm,Story
0,H         ,83,0,36,Practical Farmers of Iowa,42.0068312,-93.6169016,sow farm,Story
0,H         ,24,0,36,Practical Farmers of Iowa,42.0068312,-93.6169016,sow farm,Story
0,H         ,26,0,36,Practical Farmers of Iowa,42.0068312,-93.6169016,sow farm,Story
0,H         ,96,0,36,Practical Farmers of Iowa,42.0068312,-93.6169016,sow farm,Story
0,M         ,7,0,36,Practical Farmers of Iowa,42.0068312,-93.6169016,sow farm,Story
0,H         ,8,0,36,Practical Farmers of Iowa,42.0068312,-93.6169016,sow farm,Story
0,H         ,6,0,36,Practical Farmers of Iowa,42.0068312,-93.6169016,sow farm,Story
0,H         ,40,0,36,Practical Farmers of Iowa,42.0068312,-93.6169016,sow farm,Story
0,H         ,32,0,36,Practical Farmers of Iowa,42.0068312,-93.6169016,sow farm,Story
0,H         ,85,0,36,Practical Farmers of Iowa,42.0068312,-93.6169016,sow farm,Story
0,H         ,24,0,36,Practical Farmers of Iowa,42.0068312,-93.6169016,sow farm,Story
0,H         ,26,0,36,Practical Farmers of Iowa,42.0068312,-93.6169016,sow farm,Story
0,M         ,96,0,36,Practical Farmers of Iowa,42.0068312,-93.6169016,sow farm,Story
0,H         ,72,0,36,Practical Farmers of Iowa,42.0068312,-93.6169016,sow farm,Story
0,H         ,7,0,36,Practical Farmers of Iowa,42.0068312,-93.6169016,sow farm,Story
0,H         ,19,0,36,Practical Farmers of Iowa,42.0068312,-93.6169016,sow farm,Story
1,M         ,18,0,4,Hilltop Farms fresh produce,41.7165136,-93.9049066,sow farm,Dallas
1,M         ,20,0,4,Hilltop Farms fresh produce,41.7165136,-93.9049066,sow farm,Dallas
1,H         ,24,0,4,Hilltop Farms fresh produce,41.7165136,-93.9049066,sow farm,Dallas
1,M         ,24,0,4,Hilltop Farms fresh produce,41.7165136,-93.9049066,sow farm,Dallas
1,M         ,16,0,4,Hilltop Farms fresh produce,41.7165136,-93.9049066,sow farm,Dallas
1,H         ,24,0,4,Hilltop Farms fresh produce,41.7165136,-93.9049066,sow farm,Dallas
1,M         ,30,0,4,Hilltop Farms fresh produce,41.7165136,-93.9049066,sow farm,Dallas
1,H         ,72,0,4,Hilltop Farms fresh produce,41.7165136,-93.9049066,sow farm,Dallas
1,H         ,8,0,4,Hilltop Farms fresh produce,41.7165136,-93.9049066,sow farm,Dallas
1,H         ,10,0,4,Hilltop Farms fresh produce,41.7165136,-93.9049066,sow farm,Dallas
1,H         ,15,0,4,Hilltop Farms fresh produce,41.7165136,-93.9049066,sow farm,Dallas
1,H         ,15,0,4,Hilltop Farms fresh produce,41.7165136,-93.9049066,sow farm,Dallas
0,H         ,120,0,4,Hilltop Farms fresh produce,41.7165136,-93.9049066,sow farm,Dallas
1,H         ,20,0,4,Hilltop Farms fresh produce,41.7165136,-93.9049066,sow farm,Dallas
1,H         ,27,0,4,Hilltop Farms fresh produce,41.7165136,-93.9049066,sow farm,Dallas
1,H         ,96,0,4,Hilltop Farms fresh produce,41.7165136,-93.9049066,sow farm,Dallas
1,H         ,42,0,4,Hilltop Farms fresh produce,41.7165136,-93.9049066,sow farm,Dallas
1,H         ,31,0,4,Hilltop Farms fresh produce,41.7165136,-93.9049066,sow farm,Dallas
1,M         ,24,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,8,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,20,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,18,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,25,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,15,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,14,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,13,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,13,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,15,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,36,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,30,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,30,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,6,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,48,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,48,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,60,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,36,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,9,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,9,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,7,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,60,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,60,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,19,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,20,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,23,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,20,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,20,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,20,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,36,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,38,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,28,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,48,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,6,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,72,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,48,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,36,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,24,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,6,0,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,60,1,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,72,1,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,54,1,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,83,1,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,84,1,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,72,1,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,47,1,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,81,1,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,70,1,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,36,1,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,72,1,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,18,1,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,M         ,20,1,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,6,1,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
0,H         ,7,1,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
1,H         ,9,1,3,Centrum Valley Farms,42.6633136,-93.6363036,nursery,Wright
0,M         ,24,1,34,Iowa State University Horticulture Research Station,42.1065827,-93.5898065,sow farm,Story
0,M         ,22,1,34,Iowa State University Horticulture Research Station,42.1065827,-93.5898065,sow farm,Story
0,M         ,24,1,34,Iowa State University Horticulture Research Station,42.1065827,-93.5898065,sow farm,Story
1,M         ,21,1,34,Iowa State University Horticulture Research Station,42.1065827,-93.5898065,sow farm,Story
1,M         ,25,1,34,Iowa State University Horticulture Research Station,42.1065827,-93.5898065,sow farm,Story
1,M         ,28,1,34,Iowa State University Horticulture Research Station,42.1065827,-93.5898065,sow farm,Story
1,M         ,18,1,34,Iowa State University Horticulture Research Station,42.1065827,-93.5898065,sow farm,Story
1,M         ,23,1,34,Iowa State University Horticulture Research Station,42.1065827,-93.5898065,sow farm,Story
0,M         ,21,1,34,Iowa State University Horticulture Research Station,42.1065827,-93.5898065,sow farm,Story
1,M         ,19,1,34,Iowa State University Horticulture Research Station,42.1065827,-93.5898065,sow farm,Story
0,M         ,18,1,34,Iowa State University Horticulture Research Station,42.1065827,-93.5898065,sow farm,Story
0,M         ,21,1,34,Iowa State University Horticulture Research Station,42.1065827,-93.5898065,sow farm,Story
0,M         ,19,1,34,Iowa State University Horticulture Research Station,42.1065827,-93.5898065,sow farm,Story
0,M         ,24,1,34,Iowa State University Horticulture Research Station,42.1065827,-93.5898065,sow farm,Story
0,M         ,22,1,34,Iowa State University Horticulture Research Station,42.1065827,-93.5898065,sow farm,Story
1,M         ,24,1,34,Iowa State University Horticulture Research Station,42.1065827,-93.5898065,sow farm,Story
0,M         ,20,1,34,Iowa State University Horticulture Research Station,42.1065827,-93.5898065,sow farm,Story
0,M         ,26,1,34,Iowa State University Horticulture Research Station,42.1065827,-93.5898065,sow farm,Story
0,M         ,21,1,34,Iowa State University Horticulture Research Station,42.1065827,-93.5898065,sow farm,Story
0,H         ,14,0,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,M         ,15,0,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
0,H         ,18,0,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,40,0,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
0,H         ,12,0,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
0,M         ,10,0,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
0,H         ,42,0,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,9,0,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,60,0,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
0,M         ,6,0,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,108,0,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,M         ,10,0,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,60,0,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
0,H         ,6,0,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,40,0,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
0,H         ,8,0,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,H         ,6,0,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
0,H         ,8,0,7,Kloubec Koi,41.834648,-91.819823,GDU,Johnson
1,M         ,11,0,28,Bushman Family Farms Inc,43.091079,-91.8276998,nursery,Winneshiek
1,M         ,15,0,28,Bushman Family Farms Inc,43.091079,-91.8276998,nursery,Winneshiek
1,M         ,19,0,28,Bushman Family Farms Inc,43.091079,-91.8276998,nursery,Winneshiek
1,M         ,17,0,28,Bushman Family Farms Inc,43.091079,-91.8276998,nursery,Winneshiek
1,M         ,20,0,28,Bushman Family Farms Inc,43.091079,-91.8276998,nursery,Winneshiek
1,M         ,14,0,28,Bushman Family Farms Inc,43.091079,-91.8276998,nursery,Winneshiek
